Job,Country,Avg Salary (USD),Min Salary (USD),Max Salary (USD),Source
Software Developer,USA,83850,67080,100620,Glassory
Cybersecurity Engineer,USA,99165,79332,118998,Glassory
Data Analyst,USA,86009,68807,103210,Glassory
Software Developer,Germany,68123,54498,81747,Glassory
Cybersecurity Engineer,Germany,82470,65976,98964,Glassory
Data Analyst,Germany,58432,46745,70118,Glassory
Software Developer,India,30909,24727,37090,Glassory
Cybersecurity Engineer,India,38961,31168,46753,Glassory
Data Analyst,India,25124,20099,30148,Glassory
Software Developer,Iran,20067,16053,24080,Glassory
Cybersecurity Engineer,Iran,26035,20828,31242,Glassory
Data Analyst,Iran,17568,14054,21081,Glassory
Software Developer,Japan,72403,57922,86883,Glassory
Cybersecurity Engineer,Japan,90296,72236,108355,Glassory
Data Analyst,Japan,67052,53641,80462,Glassory
